기관코드,기관명,시도,시군구,법정동,주소,유형,정원,물리치료사,작업치료사,요양보호사,사회복지사,간호사,지정일
24615000431,더편한노인복지센터,전라남도,순천시,연향동,전라남도 순천시 도장길  50 상가동104호 (연향동),방문요양·방문목욕,,0,0,30,1,0,20241219
24615000432,준 복지용구,전라남도,순천시,가곡동,전라남도 순천시 조비길  14 상가동1층 (가곡동),복지용구,,0,0,0,0,0,20241219
24615000433,행복노인복지센터,전라남도,순천시,조례동,전라남도 순천시 비봉2길  3-24 2층 (조례동),주야간보호·방문간호,,0,0,3,1,1,20250306
24615000435,금과은노인복지센터,전라남도,순천시,서면,전라남도 순천시 서면 강청안길  26 (서면),,,0,0,23,1,0,20250425
24615000436,늘함께 재가노인복지센터,전라남도,순천시,조례동,전라남도 순천시 조례못등길  62 (조례동),방문요양·방문목욕,,0,0,35,0,0,20250425
24615000437,순천맘편한노인복지센터,전라남도,순천시,조례동,"전라남도 순천시 충효로  127 2층 (조례동, LG빌딩)",방문요양·주야간보호,,0,0,10,2,0,20250425
24615000438,민들레재가노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  107 2층 (해룡면),방문요양·방문목욕,,0,0,27,1,0,20250425
24615000439,바로노인복지용구,전라남도,순천시,인제동,전라남도 순천시 청사큰길  25 1층 (인제동),복지용구,,0,0,0,0,0,20250425
24615000440,순천다누리노인복지센터,전라남도,순천시,해룡면,전라남도 순천시 해룡면 송산2길  22-9 101호 (해룡면),주야간보호,,0,0,8,2,0,20250630
24615000442,마실주간보호센터,전라남도,순천시,서면,전라남도 순천시 서면 임촌동길  27 (서면),주야간보호,,0,0,6,2,0,20250701
24615000443,참편한노인복지센터,전라남도,순천시,별량면,전라남도 순천시 별량면 하삼길  1 (별량면),방문요양·방문목욕,,0,0,26,1,0,20250813
24615000445,참조은의료기복지용구,전라남도,순천시,서면,전라남도 순천시 서면 죽평길  4 103호 (서면),복지용구,,0,0,0,0,0,20250813
24615000446,순천큰사랑노인복지센터,전라남도,순천시,덕월동,전라남도 순천시 덕월3길  5 (덕월동),방문요양·주야간보호,,1,0,6,1,1,20250813
24615000447,종가노인복지센터,전라남도,순천시,저전동,"전라남도 순천시 청사2길  6 2층 (저전동, 상가)",주야간보호,,0,0,8,3,0,20250813
24615000449,오손도손재가복지센터,전라남도,순천시,연향동,전라남도 순천시 연향1로  27-1 1층 (연향동),방문요양·방문목욕,,0,0,14,0,0,20250925
24615000450,순천만재가복지센터,전라남도,순천시,인월동,전라남도 순천시 양율길  266-17 (인월동),주야간보호,,0,0,6,2,0,20251029
24615000451,새소망재가노인복지센터,전라남도,순천시,가곡동,전라남도 순천시 고지1길  8 2층 (가곡동),방문요양,,0,0,26,1,0,20251029
