시설유형,시설종류,시설명,시도,시군구,주소
아동복지시설,지역아동센터,Ah늘함께 지역아동복지센터,서울특별시,은평구,서울특별시 은평구 갈현로11길 30 (구산동)
장애인거주시설,장애인공동생활가정,ASK그린나래 장애인공동생활가정,서울특별시,강동구,"서울특별시 강동구 양재대로98길 43-34, 202호 (둔촌동, 화영빌라)"
아동복지시설,지역아동센터,BTC지역아동센터,인천광역시,서구,"인천광역시 서구 심곡로 193-14, 3층 (연희동)"
장애인지역사회재활시설,장애인재활치료시설,CBC 언어심리센터,경기도,고양시 일산동구,"경기도 고양시 일산동구 숲속마을로 36, 503호, 603호호 (풍동, 현대프라자)"
아동복지시설,지역아동센터,CLC희망학교지역아동센터,서울특별시,금천구,"서울특별시 금천구 시흥대로 258, 4층 501호 (시흥동)"
아동복지시설,지역아동센터,CMS지역아동센터,경상남도,사천시,"경상남도 사천시 주공로 63, 3층 301호 (용강동, 돋을연립)"
아동복지시설,지역아동센터,DCU지역아동센터,대구광역시,동구,"대구광역시 동구 평화로 70, 2층 (신암동)"
장애인직업재활시설,장애인 보호작업장,EM실천,서울특별시,금천구,"서울특별시 금천구 서부샛길 648, 1004호 (가산동)"
아동복지시설,지역아동센터,EQ스터디룸지역아동센터,전라남도,화순군,전라남도 화순군 화순읍 용곡3길 29
아동복지시설,공동생활가정,e-좋은만남,서울특별시,구로구,"서울특별시 구로구 고척로27나길 28-10 (고척동, 1층, 2층, 옥상)"
아동복지시설,지역아동센터,GLS지역아동센터,충청남도,논산시,충청남도 논산시 체육로 74-7 (취암동)
장애인지역사회재활시설,장애인재활치료시설,GOOD발달지원센터,경상북도,김천시,"경상북도 김천시 삼락택지2길 34, 101호 (삼락동, 세광에비앙)"
장애인거주시설,중증장애인거주시설,H2빌,서울특별시,강서구,서울특별시 강서구 개화동 330번지
장애인직업재활시설,장애인 보호작업장,Happy 해누리 작업장,경기도,수원시 영통구,경기도 수원시 영통구 삼성로 332 번지 2 호 팩토리월드 102 호
장애인직업재활시설,장애인 보호작업장,Happy 햇비,경기도,이천시,경기도 이천시 설성면 설장로 374-57
장애인지역사회재활시설,장애인자립생활지원센터,Happy-U 자립생활센터,경기도,성남시 수정구,경기도 성남시 수정구 산성대로215번길 26-3 (신흥동)
아동복지시설,지역아동센터,Happy홈스쿨지역아동센터,경기도,용인시 기흥구,경기도 용인시 기흥구 동백1로23번길 16 (중동)
장애인지역사회재활시설,장애인재활치료시설,ILU언어심리발달센터,대전광역시,동구,"대전광역시 동구 동서대로1572번길 157, 4층 (성남동, 금남빌딩)"
아동복지시설,지역아동센터,iM단디지역아동센터,대구광역시,남구,대구광역시 남구 중앙대로 147 (대명동)
장애인지역사회재활시설,장애인재활치료시설,J.힐링센터,경기도,동두천시,"경기도 동두천시 어등로 8, 2층 201호 (생연동, 조흥아파트상가)"
아동복지시설,지역아동센터,JG지역아동센터,전북특별자치도,김제시,전북특별자치도 김제시 금성8길 71 (신풍동)
노인주거복지시설,노인복지주택,KB골든라이프케어 종로평창카운티,서울특별시,종로구,서울특별시 종로구 평창문화로 87 (평창동)
아동복지시설,지역아동센터,K-water고운가람지역아동센터,경상남도,거창군,경상남도 거창군 남하면 영서로 73
아동복지시설,지역아동센터,KYC푸른꿈지역아동센터,전라남도,목포시,전라남도 목포시 유달로56번길 22 (서산동)
아동복지시설,지역아동센터,LH 행복꿈터 우리마을지역아동센터,전라남도,영암군,전라남도 영암군 삼호읍 삼호중앙로 222
아동복지시설,지역아동센터,LH 행복꿈터 해운대지역아동센터,부산광역시,해운대구,부산광역시 해운대구 재반로12번길 16 (재송동)
아동복지시설,지역아동센터,LH-YMCA퇴계푸름이지역아동센터,강원특별자치도,춘천시,"강원특별자치도 춘천시 승지골길16번길 14, 관리동 2층 (퇴계동, 퇴계7단지주공아파트)"
아동복지시설,지역아동센터,LH동편행복한홈스쿨,경기도,안양시 동안구,"경기도 안양시 동안구 동편로 120, 1층 (관양동, 주민복지관)"
장애인직업재활시설,장애인 보호작업장,LH보호작업장,경상북도,김천시,경상북도 김천시 대항면 황악로 1522-13 (공장주소: 농공단지2길 40 나동)
일반사회복지시설,사회복지관,LH삼봉사회복지관,전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 삼봉5로 60 (완주삼봉엘에이치아파트)
아동복지시설,지역아동센터,LH행복꿈터 광교마을지역아동센터,경기도,용인시 수지구,"경기도 용인시 수지구 광교마을로 90, 1 (상현동, 휴먼시아아파트 41단지 주민복지관1)"
