시설유형,시설종류,시설명,시도,시군구,주소
정신건강기관,정신재활시설,닛시복지마을,충청북도,괴산군,충청북도 괴산군 문광면 흑석2길 20-148
정신건강기관,정신재활시설,다솜,서울특별시,구로구,서울특별시 구로구 고척로 10길 9-5
정신건강기관,정신재활시설,다솜,대전광역시,유성구,대전광역시 유성구 은구비남로 55 
정신건강기관,정신재활시설,다온집,경기도,안양시 만안구,경기도 안양시 만안구 양화로106번길 8402호
정신건강기관,정신재활시설,다옴공동체,대전광역시,유성구,대전광역시 유성구 원내로 9-8
정신건강기관,정신재활시설,다우리공동생활가정,충청남도,천안시 동남구,충청남도 천안시 동남구 고재15길 19-4
정신건강기관,정신재활시설,다원공동체,대전광역시,유성구,대전광역시 유성구 진잠옛로 135번길 115
정신건강기관,정신재활시설,다정다감,경기도,평택시,"경기도 평택시 점촌1로 6번길 60, 신성공원빌라 302호(서정동)"
정신건강기관,정신재활시설,다정이네,서울특별시,종로구,"서울특별시 종로구 세검정로 7가길 18, 301호"
정신건강기관,정신재활시설,다함정신건강 상담센터,서울특별시,성북구,"서울특별시 성북구 보문로34길 39, 4층"
정신건강기관,기초정신건강복지센터,단국대학교 의과대학 부속병원,경기도,안성시,경기도 안성시 강변로 74번길 18 안성시보건소 4층
정신건강기관,기초정신건강복지센터,단양군 정신건강복지센터,충청북도,단양군,충청북도 단양군 단양읍 삼봉로 53
정신건강기관,정신재활시설,달구벌정신 건강센터,대구광역시,동구,"대구광역시 동구 신성로 63, 3층(신암동)"
정신건강기관,정신재활시설,달성정신재활센터 해피하우스,대구광역시,달성군,"대구광역시 달성군 화원읍 성화로 20, 2층"
정신건강기관,정신재활시설,달팽이의 꿈,경기도,안성시,경기도 안성시 금광면 배티로 702-16
정신건강기관,기초정신건강복지센터,담양군 정신건강복지센터,전라남도,담양군,전라남도 담양군 담양읍 완동길 10-11
정신건강기관,정신재활시설,담쟁이,경기도,성남시 중원구,경기도 성남시 중원구 자혜로 16번길 45-6 202호 럭키아트빌
정신건강기관,기초정신건강복지센터,당진시 정신건강복지센터,충청남도,당진시,충청남도 당진시 서부로 56
정신건강기관,중독관리통합지원센터,대구가톨릭 사회복지회,대구광역시,달서구,대구광역시 달서구 학산로 50 
정신건강기관,중독관리통합지원센터,대구가톨릭 사회복지회,경상북도,구미시,경상북도 구미시 검성로 115-1
정신건강기관,기초정신건강복지센터,대구가톨릭대학교,대구광역시,동구,"대구광역시 동구 동촌로79, 동구보건소4층 "
정신건강기관,광역정신건강복지센터,대구가톨릭대학교의료원,대구광역시,남구,대구광역시 남구 두류공원로 17길 대구가톨릭대학교병원 내 라파엘관 5층
정신건강기관,정신요양시설,대구광역시립희망원 아름마을,대구광역시,달성군,대구광역시 달성군 화원읍 명천로 58
정신건강기관,자살예방센터,대구광역자살예방센터,대구광역시,남구,대구광역시 남구 두류공원로 17길 33 대구가톨릭대학교병원 라파엘관 5층
정신건강기관,정신재활시설,대구대학교 정신건강상담센터,경상북도,경산시,경상북도 경산시 진량읍 대구대로 201 대구대학교 경산캠퍼스 조형예술대학 3호관 1층
정신건강기관,정신재활시설,대구위니스,대구광역시,북구,대구광역시 북구 옥산로 49 상미빌딩 3층
정신건강기관,기초정신건강복지센터,대구의료원,대구광역시,서구,대구광역시 서구 북비산로71길7 2층
정신건강기관,정신재활시설,대구재활센터,대구광역시,달서구,대구광역시 달서구 성서공단북로 124
정신건강기관,기초정신건강복지센터,대구정신병원,대구광역시,달서구,대구광역시 달서구 학산로 50 월성문화관 내
정신건강기관,정신재활시설,대구정신장애인 종합재활센터 미래엔미소클럽,대구광역시,서구,"대구광역시 서구 옥산로 6길 9, 4층"
정신건강기관,정신재활시설,대길엘림,서울특별시,금천구,"서울특별시 금천구 시흥대로 54길 19, 301호"
정신건강기관,정신재활시설,대길푸른초장,서울특별시,영등포구,서울특별시 영등포구 영등포로 84길 4-14
정신건강기관,정신요양시설,대성그린빌,경상북도,안동시,경상북도 안동시 임하면 진사리길 14
정신건강기관,정신재활시설,대성재활센터,경상북도,안동시,경상북도 안동시 임하면 고곡길260
정신건강기관,기초정신건강복지센터,대원대학교 산학협력단,충청북도,제천시,충청북도 제천시 의림대로242 보건복지센터 3층
정신건강기관,기초정신건강복지센터,대전 중구정신건강복지센터,대전광역시,중구,대전광역시 중구 수도산로 15(대흥동)
정신건강기관,기초정신건강복지센터,대전광역시립정신병원,대전광역시,유성구,"대전광역시 유성구 유성대로 730번길 51, 2층"
정신건강기관,정신요양시설,대전정신요양원,대전광역시,동구,대전광역시 동구 옥천로 315(삼정동)
정신건강기관,중독관리통합지원센터,대한예수교장로회 대전노회유지재단,대전광역시,서구,대전광역시 서구 신갈마로 209번길 25 2층
정신건강기관,정신재활시설,더숲,경기도,수원시 영통구,경기도 수원시 영통구 권광로 290번길 34-5
정신건강기관,정신재활시설,더하임,충청남도,금산군,충청남도 금산군 부리면 무금로 1425
정신건강기관,정신재활시설,도담,서울특별시,동대문구,"서울특별시 동대문구 사가정로 258, 4층"
정신건강기관,정신재활시설,도담도담,경기도,수원시 영통구,경기도 수원시 영통구 영통로 130번길 45 102호
정신건강기관,정신재활시설,도란도란,대전광역시,유성구,"대전광역시 유성구 송강로 15, 104동 202호"
정신건강기관,정신재활시설,도래샘,충청남도,공주시,충청남도 공주시 큰우물길 3-1
정신건강기관,기초정신건강복지센터,도봉구 정신건강복지센터,서울특별시,도봉구,"서울특별시 도봉구 방학로3길 117, 1층"
정신건강기관,자살예방센터,도봉구정신건강복지센터(부설),서울특별시,도봉구,"서울특별시 도봉구 방학로3길 117, 1층"
정신건강기관,정신재활시설,돌봄사랑채,서울특별시,광진구,서울특별시 광진구 아차산로 26길 28
정신건강기관,정신재활시설,동광임파워먼트센터,경기도,부천시 원미구,경기도 부천시 원미구 부일로 191번길 30 동성프라자 701/702호
정신건강기관,광역정신건강복지센터,동국대학교경주병원,경상북도,경주시,"경상북도 경주시 동대로 87, 복지동3층"
정신건강기관,기초정신건강복지센터,동국대학교일산병원,경기도,파주시,경기도 파주시 봉천로 68 파주건강증진센터 1층
정신건강기관,정신재활시설,동그라미,서울특별시,광진구,"서울특별시 광진구 능동로 43길 30-11, 202호"
정신건강기관,정신재활시설,동그라미,경기도,안성시,경기도 안성시 금광면 배티로 702-16
정신건강기관,정신재활시설,동대문아이존,서울특별시,동대문구,서울특별시 동대문구 답십리로 63길 73 형제빌딩 2층
정신건강기관,정신요양시설,동두천요양원,경기도,동두천시,경기도 동두천시 평화로 3208번길 43-15
정신건강기관,정신재활시설,동래직업재활센터,부산광역시,금정구,"부산광역시 금정구 중앙대로 2093, 10층"
정신건강기관,기초정신건강복지센터,동산의료원,대구광역시,달성군,대구광역시 달성군 옥포읍 비슬로 458길 6-2 3층
정신건강기관,광역정신건강복지센터,동아대학교병원,부산광역시,남구,부산광역시 남구 수영로 299 루미너스타원 12층 
정신건강기관,기초정신건강복지센터,동아메디병원,대구광역시,수성구,대구광역시 수성구 수성로 213
정신건강기관,기초정신건강복지센터,동영의료재단 상록병원,부산광역시,동래구,부산광역시 동래구 명륜로 187번길 56 동래구보건소 4층
정신건강기관,기초정신건강복지센터,동작구 정신건강복지센터,서울특별시,동작구,서울특별시 동작구 남부순환로 2025
정신건강기관,정신재활시설,동작아이존,서울특별시,동작구,서울특별시 동작구 국사봉길 109
정신건강기관,기초정신건강복지센터,동해동인병원,강원도,동해시,강원도 동해시 청운로 96(쇄운동) 1층
정신건강기관,기초정신건강복지센터,동해동인병원,강원도,삼척시,강원도 삼척시 척주로 76
정신건강기관,기초정신건강복지센터,동해동인병원,강원도,태백시,"강원도 태백시 태백로 905(황지동,보건소)"
정신건강기관,정신재활시설,동행,대전광역시,중구,대전광역시 중구 유천로 48번길 31(유천동)
정신건강기관,정신재활시설,동행,전라북도,임실군,전라북도 임실군 임실읍 호국로 1716-15
정신건강기관,정신재활시설,두드림마음건강센터,서울특별시,양천구,"서울특별시 양천구 등촌로 194, 4층"
정신건강기관,정신재활시설,두온,경기도,용인시 기흥구,경기도 용인시 기흥구 상갈로23번길 2 204호
정신건강기관,정신재활시설,둥근나래꿈 남성홈,전라북도,익산시,"전라북도 익산시 목천로 229, 3층"
정신건강기관,정신재활시설,둥근나래꿈 여성홈,전라북도,익산시,"전라북도 익산시 목천로 229, 3층"
정신건강기관,정신재활시설,둥근마음,전라북도,익산시,전라북도 익산시 목천로 229
정신건강기관,정신재활시설,드림빌1,대구광역시,남구,대구광역시 남구 중앙대로26길 13 하이디빌 301호
정신건강기관,정신재활시설,드림빌2,대구광역시,남구,대구광역시 남구 중앙대로26길 13 하이디빌 201호
정신건강기관,정신재활시설,드림하우스(구 사랑마을),서울특별시,중랑구,서울특별시 중랑구 망우로74가길 9
정신건강기관,정신재활시설,디딤돌,서울특별시,도봉구,"서울특별시 도봉구 도당로 27길 47, 2층"
정신건강기관,정신재활시설,디딤터,충청북도,청주시 서원구,충청북도 청주시 서원구 현도면 우록4길126
정신건강기관,정신재활시설,라온,경기도,포천시,경기도 포천시 삼육사로 2029 엘리트빌리지 가동
정신건강기관,정신재활시설,라온의 집,충청남도,홍성군,충청남도 홍성군 홍성읍 대내길 97번지
정신건강기관,정신재활시설,라파의 집,충청북도,증평군,충청북도 증평군 증평읍 외룡길32-24
정신건강기관,정신재활시설,로뎀나무,서울특별시,서대문구,"서울특별시 서대문구 증가로24마길 19, 101호"
정신건강기관,정신재활시설,리앤리,인천광역시,연수구,인천광역시 연수구 한나루로 186번길 54
