기관마다 어느 경로로 공고가 들어오는지 (2026-09-25)
「없음」 이 우리가 놓치는 곳입니다.

경로는 세 가지를 합쳐 봤습니다 —
  알리오·클린아이  그 API 의 기관 목록에 이름이 있는지 (알리오 353곳 · 클린아이 176곳)
  홈페이지        HOSP_SITES 에 켜져 있는지 (317곳 중 켜진 270곳)
  그 밖          실제로 그 기관 공고가 들어온 적이 있는지

경로	갈래	기관명
★ 없음	보건기관	오산시보건소
★ 없음	보건기관	오송읍 보건지소
★ 없음	보건기관	오정보건소
★ 없음	보건기관	옥계보건지소
★ 없음	보건기관	옥룡보건지소
★ 없음	보건기관	옥천군보건소
★ 없음	보건기관	옥천군청성면보건지소
★ 없음	보건기관	와촌보건지소
★ 없음	보건기관	완도군금당면보건지소
★ 없음	보건기관	완도군보건의료원
★ 없음	보건기관	완도군생일면보건지소
★ 없음	보건기관	완주군보건소
★ 없음	보건기관	욕지면보건지소
★ 없음	보건기관	용산구보건소
★ 없음	보건기관	용성보건지소
★ 없음	보건기관	우강면보건지소
★ 없음	보건기관	우도보건지소
★ 없음	보건기관	우두보건지소
★ 없음	보건기관	운정보건지소
★ 없음	보건기관	울릉군보건의료원
★ 없음	보건기관	울산광역시북구보건소
★ 없음	보건기관	울산광역시중구보건소
★ 없음	보건기관	울산동구보건소
★ 없음	보건기관	울주군보건소
★ 없음	보건기관	울진군보건소
★ 없음	보건기관	울진군평해읍보건지소
★ 없음	보건기관	웅상보건소
★ 없음	보건기관	원주시보건소
★ 없음	보건기관	위도보건지소
★ 없음	보건기관	유성구보건소
★ 없음	보건기관	은남통합보건지소
★ 없음	보건기관	은척면보건지소
★ 없음	보건기관	은평구보건소
★ 없음	보건기관	음성군보건소
★ 없음	보건기관	응암보건지소
★ 없음	보건기관	의령군보건소
★ 없음	보건기관	의성군보건소
★ 없음	보건기관	의신보건지소
★ 없음	보건기관	의왕시보건소
★ 없음	보건기관	의왕시보건소청계보건지소
★ 없음	보건기관	의정부시보건소
★ 없음	보건기관	이백면보건지소
★ 없음	보건기관	이서보건지소
★ 없음	보건기관	익산시보건소
★ 없음	보건기관	익산시함열보건지소
★ 없음	보건기관	인동보건지소
★ 없음	보건기관	인제군기린면보건지소
★ 없음	보건기관	인제군남면보건지소
★ 없음	보건기관	인제군보건소
★ 없음	보건기관	인제군북면보건지소
★ 없음	보건기관	인제군상남면보건지소
★ 없음	보건기관	인제군서화면보건지소
★ 없음	보건기관	인천광역시서해구보건소
★ 없음	보건기관	인천광역시영종구용유보건지소
★ 없음	보건기관	인천광역시제물포구보건소
★ 없음	보건기관	임실군보건의료원
★ 없음	보건기관	자월보건지소
★ 없음	보건기관	자인보건지소
★ 없음	보건기관	장기보건지소
★ 없음	보건기관	장봉보건지소
★ 없음	보건기관	장산면보건지소
★ 없음	보건기관	장성군보건소
★ 없음	보건기관	장수군번암면건강증진형보건지소
★ 없음	보건기관	장수군보건의료원
★ 없음	보건기관	장안구보건소
★ 없음	보건기관	장흥군보건소
★ 없음	보건기관	장흥군북부통합보건지소
★ 없음	보건기관	점암보건지소
★ 없음	보건기관	정동면보건지소
★ 없음	보건기관	정선군보건소
